Pipeline Name,Pipeline ID,Author Name,Execution Count,Last Run,Template Used
"pipelineascode1","698dc171240d1b67497c9e6d","Prasanna Ramachadran","0","N/A","blank_pipeline_template"
"KAL - Push To Artifact - Infoblox","698db8cee465f524c9e6d60d","Kyasa Abhilash","0","N/A","blank_pipeline_template"
"DS_Oracle_Fusion_Pull_Test","698da8d4e465f524c9e6b93a","Dammu Srinivasulu2","5","2026-02-12T15:29:32.885Z","blank_pipeline_template"
"Yogesh-Oracle","698da8b9e465f524c9e6b8fe","Yogesh.Kasare Proton","1","2026-02-12T10:19:57.270Z","blank_pipeline_template"
"REG_Xcode Native Build","698cb31be465f524c9e5ec60","Keerthiga Thulasiram","1","2026-02-11T16:51:47.868Z","blank_pipeline_template"
"REG_Docker Native Build","698c9c21205d61c2b89eb4c8","Keerthiga Thulasiram","1","2026-02-11T15:18:33.681Z","blank_pipeline_template"
"Prod to QA","698c87d6205d61c2b89e95e6","Sumit Sanyal","5","2026-02-18T15:45:11.777Z","N/A"
"UAT to QA","698c836c205d61c2b89e8aad","Sumit Sanyal","3","2026-02-18T15:00:08.328Z","N/A"
"GH_Param_Issue_Prasanna","698c7e8c205d61c2b89e7fa9","Prasanna Ramachadran","13","2026-02-11T17:41:58.468Z","blank_pipeline_template"
"Swap Demo","698c6aec205d61c2b89e595d","Swapnali Mohite","1","2026-02-11T11:48:31.174Z","N/A"
"QA_OrgToOrg_ComponentDeployement","698c6a23e465f524c9e56e26","Arun muchalambi","2","2026-02-13T12:37:35.394Z","N/A"
"Demo swap destructive","698c6357205d61c2b89e4923","Swapnali Mohite","1","2026-02-11T11:17:44.366Z","N/A"
"Demo Org to org Swap","698c559963d887d12db48534","Swapnali Mohite","2","2026-02-12T06:51:20.086Z","N/A"
"Eaton_Azure_Webapp","698c497f14eff3fcd04286cd","Prasanna Ramachadran","3","2026-02-11T10:12:16.288Z","blank_pipeline_template"
"s2_Dynamic_parameter_test","698bbbaeffbfb297704f585d","Sonu Saini2","4","2026-02-10T23:59:43.814Z","blank_pipeline_template"
"GH Staggered Test Prasanna","698b790e97a26b4bd4d11286","Prasanna Ramachadran","1","2026-02-16T13:36:00.390Z","blank_pipeline_template"
"Copy of REG_SCH_Argo_Azure_CustomTag","698b73c4205d61c2b89d40c1","Nagalakshmi 2000","0","N/A","blank_pipeline_template"
"QA_API_automation_2026-02-10_1770741689322","698b5fb984296a6c677b29f4","QA User-Production","0","N/A","N/A"
"QA_API_automation_2026-02-10_1770741191548","698b5dc7240d1b67497c33bb","QA User-Production","0","N/A","N/A"
"QA_API_automation_2026-02-10_1770739472206","698b570f240d1b67497c212d","QA User-Production","0","N/A","N/A"
"QA_API_automation_2026-02-10_1770738569760","698b538a240d1b67497c2015","QA User-Production","0","N/A","N/A"
"Blank Pipeline Template 26","698b4fe714eff3fcd0419690","Nagalakshmi 2000","0","N/A","blank_pipeline_template"
"NLP Sephora Argo inactivity issue check","698b4b3f240d1b67497c1e94","Nagalakshmi 2000","2","2026-02-10T15:38:37.242Z","N/A"
"NLP Sephora Argo inactivity issue check","698b487584296a6c677af29f","Nagalakshmi 2000","0","N/A","N/A"
"NLP Sephora Argo inactivity issue check","698b44f7240d1b67497c1d67","Nagalakshmi 2000","0","N/A","N/A"
"DS_Salesforce_Pipeline","698b287b205d61c2b89ceae2","Dammu Srinivasulu2","2","2026-02-10T12:53:14.798Z","N/A"
"Blank Pipeline Template 31","698b285214eff3fcd0416c20","Dammu Srinivasulu2","0","N/A","blank_pipeline_template"
"Notification-test-3224","698a30cb97a26b4bd4cfe2c8","Sonu Saini2","4","2026-02-09T20:12:20.071Z","blank_pipeline_template"
"Prod to sync back to all Swap","69899f9d14eff3fcd03fc6d2","Swapnali Mohite","1","2026-02-09T08:55:38.974Z","N/A"
"Swap Target to csorg1","69899224205d61c2b89b3176","Swapnali Mohite","5","2026-02-11T11:03:27.843Z","N/A"
"NC_CL_1","698966efffbfb297704ccd33","Chandru Nallasivam2","31","2026-02-14T19:02:49.087Z","blank_pipeline_template"
"KAL - GUARDANT HEALTH","69895ec1ffbfb297704cc47d","Kyasa Abhilash","3","2026-02-09T05:31:38.410Z","blank_pipeline_template"
"NC_CL","69895b4714eff3fcd03f6775","Chandru Nallasivam2","17","2026-02-09T10:46:04.440Z","blank_pipeline_template"
"Notification -29698","6986322c6289277a3613b29b","Priyadarsini P","0","N/A","blank_pipeline_template"
